S_equal,gamma_transition_sim,gamma_transition_formula
0,0.00191383669153,0
0.05,0.049777559936,0.047619047619
0.1,0.0924785817042,0.0909090909091
0.15,0.131205223501,0.130434782609
0.2,0.166628102772,0.166666666667
0.25,0.199007169809,0.2
0.3,0.228662317619,0.230769230769
0.35,0.255890503526,0.259259259259
0.4,0.280957411975,0.285714285714
0.45,0.30409827875,0.310344827586
0.5,0.333333333489,0.333333333333
0.55,0.354838709813,0.354838709677
0.6,0.375000000466,0.375
0.65,0.393939394038,0.393939393939
0.7,0.411764706019,0.411764705882
0.75,0.428571428638,0.428571428571
0.8,0.444444444496,0.444444444444
0.85,0.459459459875,0.459459459459
0.9,0.473684210796,0.473684210526
0.95,0.487179487478,0.487179487179
1,0.500000000466,0.5
1.05,0.512195121963,0.512195121951
1.1,0.523809524253,0.52380952381
1.15,0.534883721266,0.53488372093
1.2,0.750000000466,0.545454545455
1.25,0.555555555969,0.555555555556
1.3,0.565217391588,0.565217391304
1.35,0.574468085542,0.574468085106
1.4,0.583333333489,0.583333333333
1.45,0.591836735141,0.591836734694
1.5,0.600000000093,0.6
